Title,Genres,Status,User Score
Handa-kun,"['Comedy', 'School', 'Shounen', 'Visual Arts']",Completed,8.0
Happy Sugar Life,"['Drama', 'Girls Love', 'Gore', 'Horror', 'Psychological', 'Shounen', 'Suspense']",Completed,5.43
Hataage! Kemono Michi,"['Anthropomorphic', 'Comedy', 'Fantasy', 'Isekai', 'Shounen']",Completed,5.0
Hataraku Maou-sama!,"['Comedy', 'Supernatural']",Completed,8.0
Hataraku Maou-sama!!,"['Comedy', 'Supernatural']",Completed,7.0
Hataraku Maou-sama!! 2nd Season,"['Comedy', 'Supernatural']",Completed,8.0
Hatsukoi Limited.,"['Comedy', 'Romance', 'School', 'Shounen']",Completed,6.5
"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made","['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed,6.0
Henjin no Salad Bowl,"['Comedy', 'Fantasy', 'Urban Fantasy']",Completed,7.0
Hentai Ouji to Warawanai Neko.,"['Comedy', 'Harem', 'Romance', 'School', 'Supernatural']",Completed,7.0
Hige wo Soru. Soshite Joshikousei wo Hirou.,"['Drama', 'Romance']",Completed,8.0
High School DxD,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed,10.0
High School DxD BorN,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed,8.0
High School DxD New,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed,8.0
High School DxD OVA,"['Action', 'Comedy', 'Ecchi', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed,5.43
High Score Girl,"['Comedy', 'Love Polygon', 'Love Status Quo', 'School', 'Seinen', 'Video Game']",Completed,6.17
High Score Girl II,"['Comedy', 'Love Polygon', 'Love Status Quo', 'School', 'Seinen', 'Video Game']",Completed,6.17
Highschool of the Dead,"['Action', 'Ecchi', 'Gore', 'Horror', 'Shounen', 'Supernatural', 'Survival', 'Suspense']",Completed,6.06
Higurashi no Naku Koro ni,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,8.0
Higurashi no Naku Koro ni Gou,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,6.5
Higurashi no Naku Koro ni Kai,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,8.0
Higurashi no Naku Koro ni Kai Specials,"['Comedy', 'Parody']",Completed,3.0
Higurashi no Naku Koro ni Kaku: Outbreak,"['Gore', 'Horror', 'Mystery', 'Psychological']",Completed,6.38
Higurashi no Naku Koro ni Kira,"['Comedy', 'Mystery', 'Parody']",Completed,4.5
Higurashi no Naku Koro ni Rei,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,8.0
Higurashi no Naku Koro ni Sotsu,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,8.0
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,['Mystery'],Completed,7.5
Himouto! Umaru-chan,"['Comedy', 'Otaku Culture', 'School', 'Seinen']",Completed,8.0
Himouto! Umaru-chan R,"['Comedy', 'Otaku Culture', 'School', 'Seinen']",Completed,8.0
Hinamatsuri,"['Childcare', 'Comedy', 'Organized Crime', 'Seinen', 'Super Power']",Completed,6.9
Hitoribocchi no Marumaru Seikatsu,"['CGDCT', 'Comedy', 'School', 'Shounen']",Completed,4.75
Horimiya,"['Romance', 'School', 'Shounen']",Completed,8.0
Hotarubi no Mori e,"['Award Winning', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",Completed,6.0
Howl no Ugoku Shiro,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",Completed,10.0
Hyouka,"['Mystery', 'School', 'Slice of Life']",Completed,4.83
Hyouka: Motsubeki Mono wa,"['Mystery', 'School', 'Slice of Life']",Completed,4.83
"Ijiranaide, Nagatoro-san","['Comedy', 'Love Status Quo', 'School']",Completed,7.0
"Ijiranaide, Nagatoro-san 2nd Attack","['Comedy', 'Love Status Quo', 'School']",Completed,6.0
Imouto sae Ireba Ii.,"['Adult Cast', 'Comedy', 'Ecchi', 'Otaku Culture', 'Romance', 'Workplace']",Completed,6.0
Inou-Battle wa Nichijou-kei no Naka de,"['Comedy', 'Harem', 'School', 'Super Power']",Completed,8.0
Inu to Hasami wa Tsukaiyou,"['Comedy', 'Reincarnation', 'Supernatural']",Completed,6.33
Inuyashiki,"['Action', 'Drama', 'Gore', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",Completed,8.0
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Isekai', 'Romance']",Completed,6.14
Isekai Ojisan,"['Adult Cast', 'Comedy', 'Fantasy', 'Isekai', 'Otaku Culture', 'Parody']",Completed,8.0
Isekai Quartet,"['Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,4.75
Isekai Quartet 2,"['Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,4.75
Isekai Shikkaku,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,7.0
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Video Game']",Completed,8.0
Itsudatte Bokura no Koi wa 10 cm Datta.,"['Drama', 'Romance', 'School', 'Visual Arts']",Completed,7.0
Jahy-sama wa Kujikenai!,"['Comedy', 'Shounen', 'Supernatural']",Completed,6.0
Jaku-Chara Tomozaki-kun,"['Drama', 'Romance', 'School']",Completed,8.0
Jaku-Chara Tomozaki-kun 2nd Stage,"['Drama', 'Romance', 'School']",Completed,6.0
Jibaku Shounen Hanako-kun,"['School', 'Shounen', 'Supernatural']",Completed,6.67
Jiisan Baasan Wakagaeru,"['Comedy', 'Romance', 'Supernatural']",Completed,7.0
Jitsu wa Watashi wa,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen', 'Supernatural', 'Vampire']",Completed,6.0
Joshikausei,"['CGDCT', 'Comedy', 'School', 'Slice of Life']",Completed,3.25
Joshikousei no Mudazukai,"['CGDCT', 'Comedy', 'Gag Humor', 'School']",Completed,9.0
Joshiraku,"['Adult Cast', 'Comedy', 'Gag Humor', 'Parody', 'Performing Arts', 'Shounen']",Completed,3.17
Jujutsu Kaisen,"['Action', 'Award Winning', 'School', 'Shounen', 'Supernatural']",Completed,7.0
Jujutsu Kaisen 2nd Season,"['Action', 'Gore', 'School', 'Shounen', 'Supernatural']",Completed,8.0
Kage no Jitsuryokusha ni Naritakute!,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",Completed,9.0
Kage no Jitsuryokusha ni Naritakute! 2nd Season,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",Completed,7.0
Kaguya-hime no Monogatari,"['Award Winning', 'Fantasy', 'Historical']",Completed,5.0
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']",Completed,9.0
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['Comedy', 'Romance', 'School', 'Seinen']",Completed,8.0
Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Comedy', 'Romance', 'School', 'Seinen']",Completed,9.0
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"['Comedy', 'Romance', 'School', 'Seinen']",Completed,9.0
Kaifuku Jutsushi no Yarinaoshi,"['Action', 'Adventure', 'Drama', 'Erotica', 'Fantasy', 'Gore', 'Harem', 'Time Travel']",Completed,5.0
Kakegurui,"['Drama', 'High Stakes Game', 'Mystery', 'Psychological', 'School', 'Shounen', 'Strategy Game', 'Suspense']",Completed,6.56
Kakegurui××,"['Drama', 'High Stakes Game', 'Mystery', 'Psychological', 'School', 'Shounen', 'Strategy Game', 'Suspense']",Completed,6.56
Kakushigoto,"['Childcare', 'Comedy', 'Gag Humor', 'Otaku Culture', 'Shounen', 'Workplace']",Completed,9.0
Kami nomi zo Shiru Sekai,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed,6.33
