Title,Genres,Median Score
Kizumonogatari II: Nekketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",
Nana,"['Adult Cast', 'Drama', 'Love Polygon', 'Music', 'Romance', 'Shoujo']",
Natsume Yuujinchou Go,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Ookami Kodomo no Ame to Yuki,"['Award Winning', 'Childcare', 'Slice of Life', 'Supernatural']",
Perfect Blue,"['Adult Cast', 'Avant Garde', 'Award Winning', 'Drama', 'Horror', 'Psychological', 'Showbiz', 'Suspense']",
Shingeki no Kyojin,"['Action', 'Award Winning', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",
Shouwa Genroku Rakugo Shinjuu,"['Drama', 'Historical', 'Josei', 'Love Polygon', 'Performing Arts']",
Slam Dunk,"['School', 'Shounen', 'Sports', 'Team Sports']",
Yojouhan Shinwa Taikei,"['Adult Cast', 'Award Winning', 'Comedy', 'Mystery', 'Psychological', 'Romance', 'Suspense', 'Time Travel']",
Haikyuu!! To the Top Part 2,"['School', 'Shounen', 'Sports', 'Team Sports']",
Fate/Zero 2nd Season,"['Action', 'Fantasy', 'Urban Fantasy']",
Fruits Basket 2nd Season,"['Drama', 'Romance', 'School', 'Shoujo', 'Supernatural']",
Steins;Gate 0,"['Drama', 'Sci-Fi', 'Suspense', 'Time Travel']",
Zoku Natsume Yuujinchou,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,"['Action', 'Adventure', 'Shounen', 'Super Power']",
Kimi ni Todoke 3rd Season,"['Drama', 'Romance', 'School', 'Shoujo']",
Mushishi: Hihamukage,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",
Shingeki no Kyojin Season 2,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",
Shoujo☆Kageki Revue Starlight Movie,"['Drama', 'Music', 'Performing Arts', 'School']",
Bakuman. 3rd Season,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']",
Hotaru no Haka,"['Drama', 'Historical']",
Kara no Kyoukai Movie 5: Mujun Rasen,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Suspense', 'Urban Fantasy']",
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"['Action', 'Adult Cast', 'Detective', 'Mecha', 'Military', 'Mystery', 'Sci-Fi', 'Seinen']",
Samurai Champloo,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai']",
Sora yori mo Tooi Basho,"['Adventure', 'CGDCT', 'Comedy', 'Drama']",
Yuru Camp△ Season 2,"['CGDCT', 'Iyashikei', 'Slice of Life']",
Tian Guan Cifu Special,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mythology']",
