Title,Genres,Status,User Score
Devilman: Crybaby,"['Action', 'Avant Garde', 'Gore', 'Horror', 'Mythology', 'Shounen', 'Supernatural']",Completed,8
Domestic na Kanojo,"['Drama', 'Love Polygon', 'Romance', 'School', 'Shounen']",Completed,0
Dororo,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Mythology', 'Samurai', 'Shounen']",Completed,8
Dosanko Gal wa Namara Menkoi,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed,0
Dr. Stone,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Survival']",Completed,0
Dumbbell Nan Kilo Moteru?,"['CGDCT', 'Comedy', 'Ecchi']",Completed,0
Dungeon Meshi,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet', 'Seinen']",Completed,8
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"['Action', 'Adventure', 'Fantasy']",Completed,8
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,"['Action', 'Adventure', 'Fantasy']",Completed,7
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"['Action', 'Adventure', 'Fantasy']",Completed,0
Engage Kiss,"['Action', 'Comedy', 'Love Polygon', 'Romance']",Completed,6
Eromanga-sensei,"['Comedy', 'Ecchi', 'Otaku Culture', 'Romance']",Completed,8
Eromanga-sensei OVA,"['Comedy', 'Ecchi', 'Otaku Culture', 'Romance']",Completed,8
Fantasy Bishoujo Juniku Ojisan to,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Magical Sex Shift', 'Parody']",Completed,6
Fugou Keiji: Balance:Unlimited,"['Adult Cast', 'Detective', 'Mystery']",Completed,8
Fullmetal Alchemist: Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",Completed,10
Gabriel DropOut,"['CGDCT', 'Comedy', 'Mythology', 'School', 'Shounen', 'Supernatural']",Completed,0
Gamers!,"['Comedy', 'Love Polygon', 'Otaku Culture', 'Romance', 'School', 'Video Game']",Completed,6
Gekkan Shoujo Nozaki-kun,"['Comedy', 'Otaku Culture', 'Romance', 'School']",Completed,0
Giji Harem,"['Comedy', 'Love Status Quo', 'Romance', 'School', 'Shounen']",Completed,8
Gimai Seikatsu,['Romance'],Completed,6
Gintama,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,10
Gintama Movie 1: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen', 'Time Travel']",Completed,0
Gintama',"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama': Enchousen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama.,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama. Porori-hen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama. Shirogane no Tamashii-hen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama: Dai Hanseikai,"['Action', 'Comedy', 'Parody', 'Samurai', 'Shounen']",Completed,0
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,"['Action', 'Comedy', 'Historical', 'Mecha', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,0
Gintama: Shiroyasha Koutan,"['Action', 'Comedy', 'Historical', 'Parody', 'Sci-Fi']",Completed,0
Gintama: The Final,"['Action', 'Comedy', 'Drama', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,10
Gintama°,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,10
Gintama°: Aizome Kaori-hen,"['Comedy', 'Gag Humor', 'Parody', 'Shounen']",Completed,0
Goblin Slayer,"['Action', 'Adventure', 'Fantasy', 'Gore']",Completed,8
Goblin Slayer II,"['Action', 'Adventure', 'Fantasy', 'Gore']",Completed,7
Gokushufudou,"['Adult Cast', 'Comedy', 'Gag Humor', 'Organized Crime']",Completed,6
Golden Time,"['Adult Cast', 'Drama', 'Love Polygon', 'Romance']",Completed,0
Grand Blue,"['Adult Cast', 'Comedy', 'Gag Humor', 'Seinen']",Completed,0
Great Pretender,"['Action', 'Adult Cast', 'Adventure', 'Mystery', 'Organized Crime']",Completed,9
Great Teacher Onizuka,"['Comedy', 'Delinquents', 'School', 'Shounen', 'Workplace']",Completed,9
Haiyore! Nyaruko-san,"['Comedy', 'Parody', 'Sci-Fi']",Completed,10
Haiyore! Nyaruko-san F,"['Comedy', 'Parody', 'Romance', 'Sci-Fi']",Completed,9
Haiyore! Nyaruko-san W,"['Comedy', 'Parody', 'Sci-Fi']",Completed,9
Hametsu no Mars,"['Action', 'Gore', 'Horror', 'Military', 'Sci-Fi']",Completed,1
Handa-kun,"['Comedy', 'School', 'Shounen', 'Visual Arts']",Completed,8
Happy Sugar Life,"['Drama', 'Girls Love', 'Gore', 'Horror', 'Psychological', 'Shounen', 'Suspense']",Completed,0
Hataage! Kemono Michi,"['Anthropomorphic', 'Comedy', 'Fantasy', 'Isekai', 'Shounen']",Completed,0
Hataraku Maou-sama!,"['Comedy', 'Supernatural']",Completed,8
Hataraku Maou-sama!!,"['Comedy', 'Supernatural']",Completed,7
Hataraku Maou-sama!! 2nd Season,"['Comedy', 'Supernatural']",Completed,8
Hatsukoi Limited.,"['Comedy', 'Romance', 'School', 'Shounen']",Completed,0
"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made","['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed,6
Henjin no Salad Bowl,"['Comedy', 'Fantasy', 'Urban Fantasy']",Completed,7
Hentai Ouji to Warawanai Neko.,"['Comedy', 'Harem', 'Romance', 'School', 'Supernatural']",Completed,7
Hige wo Soru. Soshite Joshikousei wo Hirou.,"['Drama', 'Romance']",Completed,8
High School DxD,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed,10
High School DxD BorN,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed,8
High School DxD New,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed,8
High School DxD OVA,"['Action', 'Comedy', 'Ecchi', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed,0
High Score Girl,"['Comedy', 'Love Polygon', 'Love Status Quo', 'School', 'Seinen', 'Video Game']",Completed,0
High Score Girl II,"['Comedy', 'Love Polygon', 'Love Status Quo', 'School', 'Seinen', 'Video Game']",Completed,0
Highschool of the Dead,"['Action', 'Ecchi', 'Gore', 'Horror', 'Shounen', 'Supernatural', 'Survival', 'Suspense']",Completed,0
Higurashi no Naku Koro ni,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,8
Higurashi no Naku Koro ni Gou,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,0
Higurashi no Naku Koro ni Kai,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,8
Higurashi no Naku Koro ni Kai Specials,"['Comedy', 'Parody']",Completed,0
Higurashi no Naku Koro ni Kaku: Outbreak,"['Gore', 'Horror', 'Mystery', 'Psychological']",Completed,0
Higurashi no Naku Koro ni Kira,"['Comedy', 'Mystery', 'Parody']",Completed,0
Higurashi no Naku Koro ni Rei,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,8
Higurashi no Naku Koro ni Sotsu,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed,8
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,['Mystery'],Completed,0
Himouto! Umaru-chan,"['Comedy', 'Otaku Culture', 'School', 'Seinen']",Completed,8
Himouto! Umaru-chan R,"['Comedy', 'Otaku Culture', 'School', 'Seinen']",Completed,8
Hinamatsuri,"['Childcare', 'Comedy', 'Organized Crime', 'Seinen', 'Super Power']",Completed,0
Hitoribocchi no Marumaru Seikatsu,"['CGDCT', 'Comedy', 'School', 'Shounen']",Completed,0
Horimiya,"['Romance', 'School', 'Shounen']",Completed,8
Hotarubi no Mori e,"['Award Winning', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",Completed,6
Howl no Ugoku Shiro,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",Completed,10
Hyouka,"['Mystery', 'School', 'Slice of Life']",Completed,0
Hyouka: Motsubeki Mono wa,"['Mystery', 'School', 'Slice of Life']",Completed,0
