Title,Genres,Status
Danna ga Nani wo Itteiru ka Wakaranai Ken,"['Adult Cast', 'Comedy', 'Otaku Culture', 'Romance']",Completed
Danshi Koukousei no Nichijou,"['Comedy', 'Gag Humor', 'School']",Completed
Darling in the FranXX,"['Action', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",Completed
Date A Live,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']",Completed
Date A Live II,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']",Completed
Date A Live III,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']",Completed
Death Parade,"['Adult Cast', 'Drama', 'Fantasy', 'High Stakes Game', 'Psychological', 'Suspense']",Completed
Demi-chan wa Kataritai,"['Comedy', 'Fantasy', 'Mythology', 'School', 'Seinen', 'Urban Fantasy', 'Vampire']",Completed
Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,"['Comedy', 'Fantasy', 'Mythology', 'School', 'Seinen', 'Urban Fantasy', 'Vampire']",Completed
Denki-gai no Honya-san,"['Comedy', 'Otaku Culture', 'Seinen', 'Workplace']",Completed
Denpa Onna to Seishun Otoko,"['Comedy', 'Sci-Fi']",Completed
Devilman: Crybaby,"['Action', 'Avant Garde', 'Gore', 'Horror', 'Mythology', 'Shounen', 'Supernatural']",Completed
Domestic na Kanojo,"['Drama', 'Love Polygon', 'Romance', 'School', 'Shounen']",Completed
Dororo,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Mythology', 'Samurai', 'Shounen']",Completed
Dosanko Gal wa Namara Menkoi,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed
Dr. Stone,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Survival']",Completed
Dumbbell Nan Kilo Moteru?,"['CGDCT', 'Comedy', 'Ecchi']",Completed
Dungeon Meshi,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet', 'Seinen']",Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"['Action', 'Adventure', 'Fantasy']",Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,"['Action', 'Adventure', 'Fantasy']",Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"['Action', 'Adventure', 'Fantasy']",Completed
Engage Kiss,"['Action', 'Comedy', 'Love Polygon', 'Romance']",Completed
Eromanga-sensei,"['Comedy', 'Ecchi', 'Otaku Culture', 'Romance']",Completed
Eromanga-sensei OVA,"['Comedy', 'Ecchi', 'Otaku Culture', 'Romance']",Completed
Fantasy Bishoujo Juniku Ojisan to,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Magical Sex Shift', 'Parody']",Completed
Fugou Keiji: Balance:Unlimited,"['Adult Cast', 'Detective', 'Mystery']",Completed
