Title,Genres,Rank,Average Score
Natsume Yuujinchou Roku,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",97,
Kenpuu Denki Berserk,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Seinen']",98,
Suzumiya Haruhi no Shoushitsu,"['Award Winning', 'Mystery', 'School', 'Sci-Fi', 'Supernatural']",99,
"""Oshi no Ko""","['Award Winning', 'Drama', 'Reincarnation', 'Seinen', 'Showbiz']",100,
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"['Drama', 'Romance', 'School', 'Supernatural']",101,
Shin Evangelion Movie:||,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']",102,
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']",103,
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"['Action', 'Adventure', 'Organized Crime', 'Shounen', 'Super Power']",104,
Mushishi Zoku Shou: Suzu no Shizuku,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",105,
Natsume Yuujinchou Shichi,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",106,
Jujutsu Kaisen,"['Action', 'Award Winning', 'School', 'Shounen', 'Supernatural']",107,
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",108,
Natsume Yuujinchou San,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",109,
Doupo Cangqiong: San Nian Zhi Yue,"['Action', 'Fantasy', 'Martial Arts']",110,
Kizumonogatari II: Nekketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",111,
Nana,"['Adult Cast', 'Drama', 'Love Polygon', 'Music', 'Romance', 'Shoujo']",112,
Natsume Yuujinchou Go,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",113,
Ookami Kodomo no Ame to Yuki,"['Award Winning', 'Childcare', 'Slice of Life', 'Supernatural']",114,
Kimi no Suizou wo Tabetai,"['Drama', 'Romance', 'School']",115,
Perfect Blue,"['Adult Cast', 'Avant Garde', 'Award Winning', 'Drama', 'Horror', 'Psychological', 'Showbiz', 'Suspense']",116,
Shingeki no Kyojin,"['Action', 'Award Winning', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",117,
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","['Action', 'Avant Garde', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']",118,
Shouwa Genroku Rakugo Shinjuu,"['Drama', 'Historical', 'Josei', 'Love Polygon', 'Performing Arts']",119,
